Pipeline Dia (inch),Pipeline Length (km),Total EPRR Cost (Mil RM)
6,0.349,2.212775
8,0.842,2.224005
10,0.842,2.228082
6,0.842,2.21993
6,0.317,2.212311
6,0.317,2.212311
8,0.317,2.213844
6,0.317,2.212311
6,1.214,2.225332
6,1.144,2.224315
6,0.342,2.212673
6,1.281,2.226305
6,1.281,2.226305
6,0.662,2.217317
6,0.661,2.217302
10,20.563,2.716131
6,0.988,2.22205
10,0.717,2.225056
10,0.717,2.225056
10,0.717,2.225056
10,13.35,2.53519
10,20.563,2.716131
6,1.263,2.226044
8,0.988,2.226833
10,0.717,2.225056
10,0.717,2.225056
10,0.717,2.225056
10,0.988,2.231618
6,0.976,2.221876
24,43,4.989582
6,1.113,2.223865
6,0.467,2.214487
6,0.458,2.214356
6,1.223,2.225463
6,0.454,2.214298
6,0.454,2.214298
6,0.454,2.214298
6,0.551,2.215706
6,1.5,2.229487
6,1.508,2.229603
6,1.572,2.230533
6,1.572,2.230533
6,1.572,2.230533
10,0.713,2.224959
12,12.658,2.58107
10,1.85,2.252519
18,10.56,2.676885
10,1.223,2.237312
10,12.505,2.514177
18,10.325,2.666232
8,12.383,2.449797
18,13.05,2.790357
6,1.224,2.225477
10,0.714,2.224983
10,0.714,2.224983
10,0.702,2.224693
10,0.702,2.224693
10,0.702,2.224693
6,2.828,2.248801
8,2.747,2.260958
16,30.7,3.460073
24,7.6,2.657551
14,10,2.55138
18,8.1,2.565846
6,1.9,2.235301
6,0.5,2.214966
38,115,17.926034
13,2.5,2.286549
10,2.5,2.268305
11,4.5,2.328014
10,1.18,2.211292
12,35,3.270468
10,1.29,2.213768
30,78.3,9.374981
12,1.422,2.249034
4,1.348,2.220753
4,0.759,2.215053
8,0.72,2.221643
28,81,9.078233
16,28,3.344705
